codigo,nome,cod_OMM,inicio_operacao,lat,lon,alt,summer_offset,utc_offset,time_zone_id,time_zone_name
A431,Conde-A431,86639.0,07/04/2008,-12.035833,-37.683889,32,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A416,Correntina-A416,86671.0,09/11/2007,-13.332386,-44.617376,552,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A406,Cruz das Almas-A406,86657.0,19/01/2003,-12.675422,-39.08958,220,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A448,Curaçá-A448,81984.0,20/08/2015,-9.0013,-39.9124,370,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A443,Delfino-A443,86610.0,15/07/2008,-10.45492,-41.206996,646,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A442,Euclides da Cunha-A442,86613.0,31/03/2008,-10.537233,-38.996605,432,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A413,Feira de Santana-A413,86658.0,26/05/2007,-12.1962,-38.967384,230,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A452,Formosa do Rio Preto-A452,86623.0,02/06/2016,-11.0521639,-45.2007694,488,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A426,Guanambi-A426,86694.0,24/04/2008,-14.2081235,-42.749647,552,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A439,Ibotirama-A439,86653.0,28/04/2008,-12.19306,-43.21342,425,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A410,Ilhéus-A410,86699.0,25/01/2003,-14.658803,-39.181438,80,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A445,Ipiaú-A445,86698.0,30/06/2009,-14.171304,-39.692502,132,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A424,Irecê-A424,86635.0,31/03/2008,-11.328998,-41.864504,768,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
